Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,28,23,18,19,17,15,88,71,45,1013,1011,1008,19.0,14.0,10.0,35,14,,0.0,2.0,,213<br />
2014-1-2,28,23,18,19,18,16,88,74,46,1013,1011,1009,26.0,13.0,10.0,32,21,,0.0,2.0,,204<br />
2014-1-3,27,23,19,19,18,18,94,75,48,1010,1009,1007,31.0,12.0,3.0,32,26,,0.0,4.0,,193<br />
2014-1-4,27,22,18,19,18,14,88,74,46,1007,1006,1005,26.0,13.0,9.0,32,18,,0.0,3.0,,314<br />
2014-1-5,26,22,18,17,16,14,83,70,46,1006,1004,1003,26.0,13.0,10.0,45,21,,0.0,4.0,Rain,25<br />
2014-1-6,26,22,18,19,16,14,94,78,61,1010,1008,1007,26.0,11.0,4.0,42,18,,6.1,6.0,Rain,171<br />
2014-1-7,24,21,18,18,17,16,88,77,59,1011,1009,1008,31.0,12.0,10.0,45,29,,2.03,4.0,Rain,162<br />
2014-1-8,24,21,18,18,17,16,94,82,62,1012,1010,1008,19.0,10.0,0.0,29,16,47.0,0.0,5.0,Fog-Rain,295<br />
2014-1-9,23,20,16,16,15,14,88,75,48,1013,1010,1009,31.0,12.0,6.0,40,19,,5.08,4.0,Rain,326<br />
2014-1-10,23,20,16,16,13,12,88,65,40,1019,1016,1014,31.0,11.0,10.0,37,24,,0.0,2.0,Rain,180<br />
2014-1-11,23,19,15,13,12,11,82,61,43,1019,1017,1016,31.0,15.0,10.0,34,19,,0.0,1.0,,189<br />
2014-1-12,24,20,16,16,13,11,78,61,41,1022,1019,1017,31.0,13.0,10.0,34,19,,0.0,1.0,,176<br />
2014-1-13,27,22,17,14,13,11,73,54,36,1022,1018,1014,31.0,13.0,10.0,40,31,,0.0,1.0,,177<br />
