Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,-4,-7,-9,-9,-10,-11,82,70,58,1034,1033,1033,2,2,2,6,2,,0.00,8,,-1<br />
2014-1-2,-1,-4,-8,-6,-8,-11,75,69,53,1035,1033,1032,3,2,2,6,0,,0.00,8,,-1<br />
2014-1-3,1,-3,-8,-4,-6,-10,84,72,54,1034,1033,1033,3,2,2,6,0,,0.00,8,,-1<br />
2014-1-4,-1,-2,-3,-4,-5,-6,80,74,64,1034,1033,1032,8,4,2,14,2,,0.00,8,,-1<br />
2014-1-5,-1,-3,-6,-4,-6,-8,93,79,71,1034,1033,1033,6,3,2,14,2,,0.00,8,Snow,-1<br />
2014-1-6,-2,-4,-9,-7,-9,-12,80,67,45,1036,1035,1033,10,6,3,14,3,,0.00,8,,-1<br />
2014-1-7,-4,-7,-9,-10,-11,-12,86,72,48,1036,1031,1025,10,6,2,14,6,,0.00,7,Snow,30<br />
2014-1-8,-5,-7,-11,-9,-10,-12,87,75,65,1039,1034,1032,6,4,2,11,5,,0.00,8,,-1<br />
2014-1-9,-6,-11,-16,-9,-12,-17,100,88,67,1042,1034,1022,6,4,1,8,3,,0.00,5,Fog,70<br />
2014-1-10,-5,-10,-14,-10,-11,-13,95,78,56,1037,1036,1035,2,2,2,6,2,,0.00,8,Snow,-1<br />
2014-1-11,-5,-10,-15,-10,-13,-16,93,80,54,1038,1034,1031,3,2,2,0,0,,0.25,8,Snow,-1<br />
2014-1-12,-4,-11,-17,-12,-14,-17,88,76,58,1038,1035,1034,5,3,2,6,2,,0.00,,,-1<br />
2014-1-13,1,-7,-14,-3,-9,-14,93,81,61,1034,1030,1024,10,3,2,29,3,,0.00,,,-1<br />
2014-1-14,5,0,-6,-4,-6,-7,87,66,41,1026,1022,1019,11,10,10,14,6,,0.00,,,-1<br />
2014-1-15,1,-3,-8,-4,-6,-8,89,74,56,1035,1030,1026,10,9,6,0,0,,0.00,,,-1<br />
2014-1-16,2,-5,-12,-6,-8,-11,93,75,48,1040,1036,1034,6,5,3,6,2,,0.00,,,-1<br />
2014-1-17,1,-3,-7,-5,-7,-8,88,74,56,1031,1029,1028,8,6,3,11,2,,0.00,,,-1<br />
2014-1-18,2,-4,-9,-6,-8,-11,88,68,46,1033,1030,1028,10,9,3,11,2,,0.00,,,-1<br />
2014-1-19,3,-3,-10,-1,-7,-10,92,77,60,1031,1029,1028,10,8,3,0,0,,0.00,,,-1<br />
2014-1-20,4,-1,-6,-4,-5,-6,93,72,45,1029,1027,1024,8,5,2,11,3,,0.00,,,-1<br />
2014-1-21,8,2,-5,0,-4,-6,90,72,46,1027,1025,1023,8,6,3,21,3,,0.00,,,-1<br />
2014-1-22,8,2,-4,-1,-3,-5,97,72,46,1024,1022,1019,5,3,2,18,2,,0.00,,,-1<br />
2014-1-23,11,3,-4,1,-2,-4,89,66,36,1020,1017,1014,11,7,3,21,3,,0.00,,,190<br />
2014-1-24,4,2,-1,1,-1,-2,92,84,67,1022,1020,1017,10,8,6,6,3,,0.00,8,Rain,-1<br />
2014-1-25,5,1,-2,0,-1,-3,96,77,57,1025,1023,1022,10,7,3,0,0,,0.00,8,,-1<br />
2014-1-26,10,4,-2,-1,-2,-3,91,62,35,1021,1019,1017,10,9,6,11,2,,0.00,,,-1<br />
2014-1-27,12,8,4,4,1,-2,76,57,35,1017,1013,1011,10,10,10,32,16,,0.00,8,,191<br />
2014-1-28,8,6,3,4,3,1,100,82,70,1011,1008,1006,10,9,8,35,16,,9.91,8,Rain,188<br />
2014-1-29,12,7,2,2,1,-2,78,61,40,1017,1014,1009,11,10,10,29,18,,0.00,3,,196<br />
2014-1-30,12,9,4,3,-1,-3,93,58,23,1017,1015,1012,14,10,10,34,18,,1.02,2,,174<br />
2014-1-31,7,3,0,2,-1,-4,93,73,46,1028,1023,1015,11,10,10,23,13,,0.51,,,28<br />
2014-2-1,0,-3,-7,-2,-6,-8,100,90,78,1037,1028,1025,10,4,1,14,11,,4.06,8,Snow,55<br />
2014-2-2,-3,-7,-10,-8,-11,-17,93,76,35,1038,1031,1027,10,7,2,21,5,,0.00,5,Snow,351<br />
2014-2-3,-4,-9,-13,-13,-15,-17,79,58,28,1036,1030,1023,14,11,10,14,8,,0.00,1,,353<br />
2014-2-4,-4,-8,-12,-11,-13,-15,79,62,32,1031,1027,1020,14,10,10,18,6,,0.00,4,,24<br />
2014-2-5,-1,-6,-11,-9,-13,-14,79,57,28,1029,1025,1019,14,10,10,18,8,,0.00,,,4<br />
2014-2-6,3,-3,-10,-7,-11,-14,93,58,25,1028,1024,1019,10,10,10,11,3,,0.00,,,193<br />
2014-2-7,4,-3,-9,-4,-9,-12,80,59,27,1029,1027,1025,10,10,10,11,3,,0.00,,,182<br />
2014-2-8,4,-2,-8,-2,-9,-11,86,62,25,1029,1025,1020,10,9,8,8,3,,0.00,,,163<br />
2014-2-9,6,-1,-8,-6,-8,-10,93,61,19,1031,1026,1021,10,9,6,19,5,,0.00,0,,203<br />
2014-2-10,7,1,-5,-2,-6,-8,86,61,30,1026,1022,1018,10,8,5,8,5,,0.00,0,,115<br />
2014-2-11,8,3,-3,-3,-5,-7,86,60,27,1026,1021,1018,10,9,6,23,5,,0.00,4,,169<br />
2014-2-12,10,3,-4,1,-4,-7,89,58,24,1029,1026,1023,10,9,6,18,5,,0.00,6,,82<br />
2014-2-13,12,3,-5,-3,-5,-7,88,54,25,1028,1024,1015,10,10,10,19,5,,0.00,,,161<br />
2014-2-14,13,4,-4,-3,-5,-7,80,52,20,1026,1023,1021,10,10,10,19,5,,0.00,,,168<br />
2014-2-15,13,4,-4,1,-4,-6,74,57,25,1020,1017,1014,10,9,8,11,3,,0.00,3,,104<br />
2014-2-16,9,6,3,4,2,-5,93,71,40,1016,1014,1013,10,8,4,11,5,,2.03,8,,311<br />
2014-2-17,11,6,2,2,-1,-4,100,66,26,1023,1019,1016,10,9,7,14,5,,0.00,5,Rain,12<br />
2014-2-18,13,6,-2,-2,-4,-5,90,46,20,1026,1023,1020,10,10,10,11,5,,0.00,1,,174<br />
2014-2-19,13,7,0,0,-3,-6,81,46,21,1025,1021,1020,11,10,10,29,10,,0.00,5,,34<br />
2014-2-20,17,7,-2,-2,-7,-11,74,41,14,1026,1023,1020,14,11,10,26,6,,0.00,,,197<br />
2014-2-21,18,8,-2,-3,-7,-10,59,31,14,1021,1019,1015,14,10,10,35,11,,0.00,,,218<br />
2014-2-22,16,8,1,0,-4,-8,65,37,20,1017,1016,1014,10,10,10,19,8,,0.00,6,,194<br />
2014-2-23,12,6,-1,0,-3,-6,100,59,26,1023,1019,1016,11,10,10,19,6,,0.00,2,,44<br />
2014-2-24,13,4,-4,0,-3,-6,83,64,26,1028,1025,1023,10,10,10,11,3,,0.00,1,,186<br />
2014-2-25,16,7,-2,0,-1,-3,93,58,17,1026,1023,1020,11,10,8,21,5,,0.00,1,,127<br />
2014-2-26,16,7,-2,3,-1,-4,76,47,18,1022,1018,1015,10,10,10,29,13,,0.00,3,,160<br />
2014-2-27,15,8,1,4,2,1,94,58,27,1019,1017,1014,11,10,10,18,3,,0.00,1,,100<br />
2014-2-28,13,8,2,3,1,-1,79,59,31,1018,1015,1013,11,10,10,11,5,,0.00,,,-1<br />
