
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,11,8,6,9,7,4,94,86,73,1002,993,984,31,11,2,40,26,66,9.91,4,Rain,186<br />
2014-1-2,11,9,6,9,6,4,94,81,60,998,993,985,31,15,5,32,21,50,1.02,2,Rain,214<br />
2014-1-3,11,8,6,9,5,2,94,76,54,1000,994,991,31,12,0,50,29,69,7.11,2,Rain-Thunderstorm,219<br />
2014-1-4,9,6,3,8,6,2,93,85,65,1001,993,987,31,12,5,35,21,39,9.91,4,Rain,211<br />
2014-1-5,12,7,1,11,4,-1,100,88,77,1004,1000,993,31,14,5,35,16,,0.25,5,Rain,199<br />
2014-1-6,12,10,8,11,8,6,94,78,60,999,994,992,31,12,5,50,29,61,2.03,4,Rain,219<br />
2014-1-7,12,10,8,8,7,6,87,78,63,1008,1003,999,31,13,5,39,27,55,5.08,3,Rain,219<br />
2014-1-8,12,9,7,11,7,6,94,85,69,1015,1012,1005,27,14,6,24,18,37,1.02,3,Rain,197<br />
2014-1-9,11,8,5,11,5,2,94,76,53,1014,1006,999,31,13,5,40,26,60,0.00,4,Rain,247<br />
2014-1-10,11,7,2,7,4,2,93,85,66,1015,1014,1013,31,17,10,24,13,32,0.25,3,Rain,216<br />
2014-1-11,9,4,0,7,3,-1,100,80,51,1025,1019,1012,31,12,6,24,14,,0.00,4,Rain,259<br />
2014-1-12,10,4,-2,9,3,-2,100,91,79,1025,1016,1004,31,9,1,32,10,,0.51,6,Fog-Rain,126<br />
2014-1-13,9,7,5,8,4,3,93,85,71,1008,1005,1000,31,16,5,34,19,,5.08,2,Rain,205<br />
2014-1-14,7,4,1,5,2,0,100,82,55,1007,1004,1000,31,15,10,21,13,,0.25,3,Rain,242<br />
2014-1-15,11,8,5,10,8,5,100,91,83,1004,998,992,31,12,5,26,18,,1.02,5,Rain,195<br />
2014-1-16,11,8,6,9,6,4,94,85,67,993,990,987,31,14,3,27,18,47,3.05,3,Rain,188<br />
2014-1-17,9,7,5,7,6,4,93,86,68,994,991,987,31,13,5,29,19,47,4.06,3,Rain,192<br />
2014-1-18,11,8,6,8,6,5,100,84,71,994,991,989,31,14,3,32,14,,0.51,4,Rain,141<br />
2014-1-19,8,6,2,7,4,1,93,79,53,1002,995,990,31,15,10,19,13,,0.00,3,Rain,203<br />
2014-1-20,9,4,1,5,3,0,100,86,60,1012,1008,1002,21,10,2,8,3,,0.25,2,Fog,342<br />
2014-1-21,8,4,1,5,3,1,100,88,66,1012,1010,1005,31,9,0,26,8,,0.25,4,Fog-Rain,162<br />
2014-1-22,11,8,6,7,6,4,100,87,62,1012,1007,1003,31,13,6,23,14,32,0.25,5,Rain,221<br />
2014-1-23,8,6,2,6,3,0,100,81,50,1016,1012,1010,31,14,5,26,13,45,1.02,2,Rain,265<br />
2014-1-24,8,4,2,6,3,1,93,85,71,1016,1014,1012,31,15,6,19,11,,5.08,6,Rain,164<br />
2014-1-25,12,9,5,8,6,0,100,83,48,1015,1012,1007,31,10,2,40,13,61,2.03,4,Fog-Rain,249<br />
2014-1-26,9,6,2,8,3,0,93,80,62,1016,1002,990,31,14,3,37,19,39,5.08,4,Rain,232<br />
2014-1-27,8,5,2,4,2,-1,87,80,61,993,990,987,31,16,9,34,23,47,2.03,3,Rain,228<br />
2014-1-28,10,7,4,5,4,3,93,82,60,988,985,983,31,15,6,29,18,,0.25,3,Rain,176<br />
2014-1-29,5,4,3,4,3,2,93,90,85,1000,994,989,31,10,3,24,14,,13.97,6,Rain,91<br />
2014-1-30,6,4,3,4,3,2,100,89,76,1005,1002,1000,27,7,3,16,10,,0.00,6,Rain,20<br />
