Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,17062015,,14104602,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,56302663,,26259792,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,16117,,50331,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,90,,360,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,770771,,1424271,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,597469,,996031,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,100,Bulgaria,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1,,191,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4813,,50193,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,144,Sri Lanka,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,571,,3089,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,156,China,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,447823,,1022524,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4289,,4029,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2050253,,2546959,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,3384,,2944,,,0
