country,year,NY.GDP.MKTP.CD
Arab World,2013,2827557148210.97
Caribbean small states,2013,69287048038.1545
Central Europe and the Baltics,2013,1419383888513.92
East Asia & Pacific (all income levels),2013,20846726977065.7
East Asia & Pacific (developing only),2013,11729395514462.0
Euro area,2013,13188775741580.4
Europe & Central Asia (all income levels),2013,22949899696925.6
Europe & Central Asia (developing only),2013,1879644696323.62
European Union,2013,17987465273840.3
Fragile and conflict affected situations,2013,731558071200.6
Heavily indebted poor countries (HIPC),2013,598851845291.301
High income,2013,52256187329042.1
High income: nonOECD,2013,6369893151799.64
High income: OECD,2013,45927311632922.5
Latin America & Caribbean (all income levels),2013,6269874859706.83
Latin America & Caribbean (developing only),2013,4761014358771.96
Least developed countries: UN classification,2013,816890155603.36
Low & middle income,2013,24011494861267.1
Low income,2013,372061684704.10706
Lower middle income,2013,5473342620945.17
Middle East & North Africa (all income levels),2013,3562279554744.38
Middle East & North Africa (developing only),2013,1640224832654.45
Middle income,2013,23637119652152.1
North America,2013,18612590885409.4
Not classified,2013,
OECD members,2013,48009763073164.4
Other small states,2013,99004463561.9632
Pacific island small states,2013,8227972578.75318
Small states,2013,176519484178.871
South Asia,2013,2361515495718.04
Sub-Saharan Africa (all income levels),2013,1668119248410.01
Sub-Saharan Africa (developing only),2013,1649422075764.72
Upper middle income,2013,18155014821574.9
World,2013,76236796175538.2
Afghanistan,2013,20458939155.2669
Albania,2013,12781029643.4205
Algeria,2013,209703529364.33102
American Samoa,2013,
Andorra,2013,3249100674.8400803
Angola,2013,138356809261.963
Antigua and Barbuda,2013,1200587518.5185199
Argentina,2013,614383517369.5029
Armenia,2013,11121465767.4067
Aruba,2013,
Australia,2013,1563950959269.52
Austria,2013,428698577647.394
Azerbaijan,2013,73560484384.9586
"Bahamas, The",2013,8431750000.0
Bahrain,2013,32897606382.9787
Bangladesh,2013,149990451022.29
Barbados,2013,4281000000.0
Belarus,2013,73097619636.8209
Belgium,2013,521402393365.011
Belize,2013,1624294250.0
Benin,2013,9110800744.87896
Bermuda,2013,5573710000.0
Bhutan,2013,1798333725.8395398
Bolivia,2013,30659338929.0883
Bosnia and Herzegovina,2013,17841444572.6699
Botswana,2013,14979304170.7843
Brazil,2013,2392082463707.62
Brunei Darussalam,2013,16110693734.0153
Bulgaria,2013,55626359256.2432
Burkina Faso,2013,12110243992.0653
Burundi,2013,2714505634.52629
Cabo Verde,2013,1837908563.30275
Cambodia,2013,15449630418.5486
Cameroon,2013,29567504655.4935
Canada,2013,1838964175409.41
Cayman Islands,2013,
Central African Republic,2013,1537740105.45705
Chad,2013,12949853281.2464
Channel Islands,2013,
Chile,2013,276673695234.341
China,2013,9490602600148.49
Colombia,2013,380063456192.64
Comoros,2013,598925539.6726099
"Congo, Dem. Rep.",2013,30014905126.1049
"Congo, Rep.",2013,14085852120.4761
