country,year,SP.DYN.LE00.IN
Arab World,2013,70.6313051672398
Caribbean small states,2013,71.9019637504868
Central Europe and the Baltics,2013,76.12758262848621
East Asia & Pacific (all income levels),2013,74.6046188995068
East Asia & Pacific (developing only),2013,73.65761655820751
Euro area,2013,81.3731967418674
Europe & Central Asia (all income levels),2013,76.789731923845
Europe & Central Asia (developing only),2013,72.45646107381579
European Union,2013,80.3842618726
Fragile and conflict affected situations,2013,61.771104887151395
Heavily indebted poor countries (HIPC),2013,60.310825680011796
High income,2013,79.1097828969154
High income: nonOECD,2013,74.0710201403492
High income: OECD,2013,80.65043472852109
Latin America & Caribbean (all income levels),2013,74.702201501923
Latin America & Caribbean (developing only),2013,74.3812773393328
Least developed countries: UN classification,2013,62.77473727429461
Low & middle income,2013,69.3111304861494
Low income,2013,60.812795220347795
Lower middle income,2013,66.99186909864581
Middle East & North Africa (all income levels),2013,72.8960011005759
Middle East & North Africa (developing only),2013,72.3475961598045
Middle income,2013,70.3048643271329
North America,2013,79.0976488858613
Not classified,2013,
OECD members,2013,79.921973877965
Other small states,2013,61.9989652427917
Pacific island small states,2013,69.728363316246
Small states,2013,64.8672040805443
South Asia,2013,67.7809207251351
Sub-Saharan Africa (all income levels),2013,58.0773024021241
Sub-Saharan Africa (developing only),2013,58.0764316418292
Upper middle income,2013,74.3170902660733
World,2013,71.2096146905407
Afghanistan,2013,60.028268292682895
Albania,2013,77.537243902439
Algeria,2013,74.5689512195122
American Samoa,2013,
Andorra,2013,
Angola,2013,51.8661707317073
Antigua and Barbuda,2013,75.77865853658541
Argentina,2013,75.9860975609756
Armenia,2013,74.5613658536585
Aruba,2013,75.32865853658541
Australia,2013,82.1975609756098
Austria,2013,80.890243902439
Azerbaijan,2013,70.6931463414634
"Bahamas, The",2013,75.0735365853659
Bahrain,2013,76.5459512195122
Bangladesh,2013,71.245243902439
Barbados,2013,75.3339512195122
Belarus,2013,72.4707317073171
Belgium,2013,80.3853658536585
Belize,2013,69.9820487804878
Benin,2013,59.312024390243906
Bermuda,2013,80.5724390243902
Bhutan,2013,69.1029268292683
Bolivia,2013,67.9134390243903
Bosnia and Herzegovina,2013,76.27692682926829
Botswana,2013,64.3608048780488
Brazil,2013,74.1224390243903
Brunei Darussalam,2013,78.54665853658541
Bulgaria,2013,74.4658536585366
Burkina Faso,2013,58.2406341463415
Burundi,2013,56.2516097560976
Cabo Verde,2013,72.9723658536585
Cambodia,2013,67.7720487804878
Cameroon,2013,55.0418048780488
Canada,2013,81.40112195121951
Cayman Islands,2013,
Central African Republic,2013,49.8798780487805
Chad,2013,51.1914878048781
Channel Islands,2013,80.46282926829271
Chile,2013,81.1979268292683
China,2013,75.3530243902439
Colombia,2013,73.8097317073171
Comoros,2013,62.932170731707295
"Congo, Dem. Rep.",2013,58.271926829268295
"Congo, Rep.",2013,61.6663902439024
Costa Rica,2013,79.2252195121951
Cote d'Ivoire,2013,51.2084634146342
Croatia,2013,77.12682926829271
Cuba,2013,79.2563902439025
Curacao,2013,
Cyprus,2013,79.94978048780492
Czech Republic,2013,78.2780487804878
Denmark,2013,80.3024390243903
Djibouti,2013,61.6864634146342
Dominica,2013,
Dominican Republic,2013,73.3199024390244
Ecuador,2013,75.64851219512201
"Egypt, Arab Rep.",2013,70.92578048780491
El Salvador,2013,72.49814634146341
Equatorial Guinea,2013,57.290829268292704
Eritrea,2013,63.1778780487805
Estonia,2013,76.42439024390251
Ethiopia,2013,63.4421951219512
Faeroe Islands,2013,81.3
Fiji,2013,69.9179268292683
Finland,2013,80.8317073170732
France,2013,81.9682926829268
French Polynesia,2013,76.33407317073171
Gabon,2013,63.8435853658537
"Gambia, The",2013,59.9992682926829
Georgia,2013,74.079512195122
Germany,2013,81.04390243902441
Ghana,2013,61.142073170731706
Greece,2013,80.6341463414634
Greenland,2013,
Grenada,2013,73.1935609756098
Guam,2013,78.872512195122
Guatemala,2013,71.4863902439024
Guinea,2013,58.216487804878
Guinea-Bissau,2013,54.838414634146396
Guyana,2013,66.3100243902439
Haiti,2013,62.401146341463395
Honduras,2013,72.94285365853659
"Hong Kong SAR, China",2013,83.8317073170732
Hungary,2013,75.2682926829268
Iceland,2013,83.1170731707317
India,2013,67.6604146341463
Indonesia,2013,68.7046097560976
"Iran, Islamic Rep.",2013,75.1259756097561
Iraq,2013,69.4716829268293
Ireland,2013,81.04390243902441
Isle of Man,2013,
Israel,2013,82.05609756097559
Italy,2013,82.290243902439
Jamaica,2013,73.4689268292683
Japan,2013,83.3319512195122
Jordan,2013,73.9014146341463
Kazakhstan,2013,70.45
Kenya,2013,60.9537804878049
Kiribati,2013,65.7665853658537
"Korea, Dem. Rep.",2013,69.7919512195122
"Korea, Rep.",2013,81.459756097561
Kosovo,2013,70.7975609756098
Kuwait,2013,74.462756097561
Kyrgyz Republic,2013,70.2024390243902
Lao PDR,2013,65.68724390243901
Latvia,2013,73.9804878048781
Lebanon,2013,80.12887804878049
Lesotho,2013,49.3314634146342
Liberia,2013,60.5203902439024
Libya,2013,71.6576829268293
Liechtenstein,2013,82.3829268292683
Lithuania,2013,74.1634146341464
Luxembourg,2013,81.7975609756098
"Macao SAR, China",2013,80.3391463414634
"Macedonia, FYR",2013,75.1870487804878
Madagascar,2013,64.6739024390244
Malawi,2013,61.466
Malaysia,2013,74.567512195122
Maldives,2013,76.60260975609759
Mali,2013,57.5351951219512
Malta,2013,80.7463414634146
Marshall Islands,2013,
Mauritania,2013,62.8027073170732
Mauritius,2013,74.46
Mexico,2013,76.5326585365854
"Micronesia, Fed. Sts.",2013,68.9733902439024
Moldova,2013,68.811512195122
Monaco,2013,
Mongolia,2013,69.0618048780488
Montenegro,2013,74.7583658536585
Morocco,2013,73.70904878048779
Mozambique,2013,54.641512195122004
Myanmar,2013,65.6540975609756
Namibia,2013,64.3438780487805
Nepal,2013,69.222
Netherlands,2013,81.10487804878049
New Caledonia,2013,77.12195121951221
New Zealand,2013,81.4073170731707
Nicaragua,2013,74.51475609756099
Niger,2013,60.828146341463395
Nigeria,2013,52.44214634146339
Northern Mariana Islands,2013,
Norway,2013,81.4512195121951
Oman,2013,76.8410487804878
Pakistan,2013,65.9636829268293
Palau,2013,
Panama,2013,77.41921951219508
Papua New Guinea,2013,62.4491707317073
Paraguay,2013,72.79917073170729
Peru,2013,74.2838536585366
Philippines,2013,68.1315609756097
Poland,2013,76.8487804878049
Portugal,2013,80.37317073170729
Puerto Rico,2013,78.71119512195119
Qatar,2013,78.4184878048781
Romania,2013,74.4634146341463
Russian Federation,2013,71.0731707317073
Rwanda,2013,63.3948292682927
Samoa,2013,73.2503902439024
San Marino,2013,
Sao Tome and Principe,2013,66.259512195122
Saudi Arabia,2013,74.17763414634149
Senegal,2013,65.878756097561
Serbia,2013,75.1365853658537
Seychelles,2013,74.2268292682927
Sierra Leone,2013,50.363121951219505
Singapore,2013,82.34634146341459
Sint Maarten (Dutch part),2013,
Slovak Republic,2013,76.2609756097561
Slovenia,2013,80.2780487804878
Solomon Islands,2013,67.7189268292683
Somalia,2013,55.023024390243904
South Africa,2013,56.7365853658537
South Sudan,2013,55.2209024390244
Spain,2013,82.4268292682927
Sri Lanka,2013,74.24029268292679
St. Kitts and Nevis,2013,
St. Lucia,2013,74.9127073170732
St. Martin (French part),2013,79.17073170731709
St. Vincent and the Grenadines,2013,72.8108780487805
Sudan,2013,63.1670487804878
Suriname,2013,70.99
Swaziland,2013,48.93792682926829
Sweden,2013,81.7048780487805
Switzerland,2013,82.74878048780491
Syrian Arab Republic,2013,74.7157804878049
Tajikistan,2013,69.40017073170729
Tanzania,2013,64.2918292682927
Thailand,2013,74.24692682926829
Timor-Leste,2013,67.5223658536585
Togo,2013,59.132365853658506
Tonga,2013,72.64034146341471
Trinidad and Tobago,2013,70.3052926829268
Tunisia,2013,73.64634146341471
Turkey,2013,75.1759512195122
Turkmenistan,2013,65.4565609756098
Turks and Caicos Islands,2013,
Tuvalu,2013,
Uganda,2013,57.7676829268293
Ukraine,2013,71.159512195122
United Arab Emirates,2013,77.19563414634149
United Kingdom,2013,80.95609756097559
United States,2013,78.84146341463409
Uruguay,2013,76.83619512195119
Uzbekistan,2013,68.2275853658537
Vanuatu,2013,71.669243902439
"Venezuela, RB",2013,74.07441463414641
Vietnam,2013,75.75648780487799
Virgin Islands (U.S.),2013,79.62439024390241
West Bank and Gaza,2013,73.20334146341459
"Yemen, Rep.",2013,63.583512195122005
Zambia,2013,59.2373658536585
Zimbabwe,2013,55.633
