country,year,SP.POP.TOTL
Arab World,2013,377096710.0
Caribbean small states,2013,6975819.0
Central Europe and the Baltics,2013,103713726.0
East Asia & Pacific (all income levels),2013,2248867116.0
East Asia & Pacific (developing only),2013,2006072847.0
Euro area,2013,337283895.0
Europe & Central Asia (all income levels),2013,898837054.0
Europe & Central Asia (developing only),2013,262416324.0
European Union,2013,506558032.0
Fragile and conflict affected situations,2013,461713245.0
Heavily indebted poor countries (HIPC),2013,682730030.0
High income,2013,1390565718.0
High income: nonOECD,2013,326137386.0
High income: OECD,2013,1064428332.0
Latin America & Caribbean (all income levels),2013,619487273.0
Latin America & Caribbean (developing only),2013,519419591.0
Least developed countries: UN classification,2013,910063594.0
Low & middle income,2013,5783955641.0
Low income,2013,605505799.0
Lower middle income,2013,2836264486.0
Middle East & North Africa (all income levels),2013,409324396.0
Middle East & North Africa (developing only),2013,350649177.0
Middle income,2013,5178449842.0
North America,2013,351720836.0
Not classified,2013,
OECD members,2013,1263178643.0
Other small states,2013,20531614.0
Pacific island small states,2013,2285709.0
Small states,2013,29793142.0
South Asia,2013,1697997032.0
Sub-Saharan Africa (all income levels),2013,948287652.0
Sub-Saharan Africa (developing only),2013,947400670.0
Upper middle income,2013,2342185356.0
World,2013,7174521359.0
Afghanistan,2013,30682500.0
Albania,2013,2897366.0
Algeria,2013,38186135.0
American Samoa,2013,55302.0
Andorra,2013,75902.0
Angola,2013,23448202.0
Antigua and Barbuda,2013,89985.0
Argentina,2013,42538304.0
Armenia,2013,2992192.0
Aruba,2013,102921.0
Australia,2013,23125868.0
Austria,2013,8479375.0
Azerbaijan,2013,9416801.0
"Bahamas, The",2013,377841.0
Bahrain,2013,1349427.0
Bangladesh,2013,157157394.0
Barbados,2013,282503.0
Belarus,2013,9466000.0
Belgium,2013,11182817.0
Belize,2013,344193.0
Benin,2013,10322232.0
Bermuda,2013,65001.0
Bhutan,2013,754637.0
Bolivia,2013,10399931.0
Bosnia and Herzegovina,2013,3823533.0
Botswana,2013,2176510.0
Brazil,2013,204259377.0
Brunei Darussalam,2013,411499.0
Bulgaria,2013,7265115.0
Burkina Faso,2013,17084554.0
Burundi,2013,10465959.0
Cabo Verde,2013,507258.0
Cambodia,2013,15078564.0
Cameroon,2013,22211166.0
Canada,2013,35158304.0
Cayman Islands,2013,58369.0
Central African Republic,2013,4710678.0
Chad,2013,13145788.0
Channel Islands,2013,162138.0
Chile,2013,17575833.0
China,2013,1357380000.0
Colombia,2013,47342363.0
Comoros,2013,751697.0
"Congo, Dem. Rep.",2013,72552861.0
"Congo, Rep.",2013,4394334.0
Costa Rica,2013,4706433.0
Cote d'Ivoire,2013,21622490.0
Croatia,2013,4255689.0
Cuba,2013,11362505.0
Curacao,2013,153821.0
Cyprus,2013,1141652.0
Czech Republic,2013,10514272.0
Denmark,2013,5614932.0
Djibouti,2013,864554.0
Dominica,2013,72005.0
Dominican Republic,2013,10281408.0
Ecuador,2013,15661312.0
"Egypt, Arab Rep.",2013,87613909.0
El Salvador,2013,6089644.0
Equatorial Guinea,2013,797082.0
Eritrea,2013,4998824.0
Estonia,2013,1317997.0
Ethiopia,2013,94558374.0
Faeroe Islands,2013,48292.0
Fiji,2013,880487.0
Finland,2013,5438972.0
France,2013,65925498.0
French Polynesia,2013,276766.0
Gabon,2013,1650351.0
"Gambia, The",2013,1866878.0
Georgia,2013,4487200.0
Germany,2013,80645605.0
